ZCTA5,STATE,COUNTY,GEOID,POPPT,HUPT,AREAPT,AREALANDPT,ZPOP,ZHU,ZAREA,ZAREALAND,COPOP,COHU,COAREA,COAREALAND,ZPOPPCT,ZHUPCT,ZAREAPCT,ZAREALANDPCT,COPOPPCT,COHUPCT,COAREAPCT,COAREALANDPCT
00601,72,001,72001,18465,7695,165132671,164333375,18570,7744,167459085,166659789,19483,8125,173777444,172725651,99.43,99.37,98.61,98.6,94.77,94.71,95.03,95.14
00601,72,141,72141,105,49,2326414,2326414,18570,7744,167459085,166659789,33149,14192,298027589,294039825,0.57,0.63,1.39,1.4,0.32,0.35,0.78,0.79
00602,72,003,72003,41520,18073,83734431,79288158,41520,18073,83734431,79288158,41959,18258,117948080,79904246,100,100,100,100,98.95,98.99,70.99,99.23
00603,72,005,72005,54689,25653,82063867,81880442,54689,25653,82063867,81880442,60949,28430,195741178,94608641,100,100,100,100,89.73,90.23,41.92,86.55
00606,72,093,72093,6276,2740,94864349,94851862,6615,2877,109592548,109580061,6276,2740,94864349,94851862,94.88,95.24,86.56,86.56,100,100,100,100
00606,72,121,72121,89,38,6679806,6679806,6615,2877,109592548,109580061,25265,10958,92831653,92806330,1.35,1.32,6.1,6.1,0.35,0.35,7.2,7.2
00606,72,153,72153,250,99,8048393,8048393,6615,2877,109592548,109580061,42043,18020,178241098,176615594,3.78,3.44,7.34,7.34,0.59,0.55,4.52,4.56
00610,72,003,72003,160,62,237185,237185,29016,12618,97193468,93021467,41959,18258,117948080,79904246,0.55,0.49,0.24,0.25,0.38,0.34,0.2,0.3
00610,72,011,72011,28856,12556,96956283,92784282,29016,12618,97193468,93021467,29261,12755,116355489,101747783,99.45,99.51,99.76,99.75,98.62,98.44,83.33,91.19
00612,72,013,72013,66938,30961,183876062,174066899,67010,30992,184915406,175106243,96440,43253,443385518,326200544,99.89,99.9,99.44,99.41,69.41,71.58,41.47,53.36
00612,72,017,72017,72,31,1039344,1039344,67010,30992,184915406,175106243,24816,10693,80071362,48414485,0.11,0.1,0.56,0.59,0.29,0.29,1.3,2.15
00616,72,013,72013,11017,4896,30019620,29870473,11017,4896,30019620,29870473,96440,43253,443385518,326200544,100,100,100,100,11.42,11.32,6.77,9.16
00617,72,017,72017,24457,10542,43181464,39193495,24597,10594,43335127,39347158,24816,10693,80071362,48414485,99.43,99.51,99.65,99.61,98.55,98.59,53.93,80.95
00617,72,054,72054,140,52,153663,153663,24597,10594,43335127,39347158,12680,5137,39425508,39391492,0.57,0.49,0.35,0.39,1.1,1.01,0.39,0.39
00622,72,023,72023,7853,8714,76771945,75077028,7853,8714,76771945,75077028,50917,30206,459499677,182266838,100,100,100,100,15.42,28.85,16.71,41.19
00623,72,023,72023,43061,21426,100001387,98367847,43061,21426,100001387,98367847,50917,30206,459499677,182266838,100,100,100,100,84.57,70.93,21.76,53.97
00624,72,111,72111,24280,9219,109847589,107325269,26241,9905,114316394,111791516,24282,9220,175768648,115558665,92.53,93.07,96.09,96,99.99,99.99,62.5,92.88